"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2012","476.51","533.15","544.25","469.34","6.41B","-10.62%"
"01/04/2012","533.15","538.43","547.11","509.95","4.61B","-0.98%"
"01/03/2012","538.43","557.36","563.42","526.77","4.82B","-3.40%"
"01/02/2012","557.36","528.53","567.29","528.53","4.66B","5.45%"
"01/01/2012","528.53","520.81","547.87","516.99","4.97B","1.48%"
"01/12/2011","520.81","526.41","534.60","488.19","4.07B","-1.06%"
"01/11/2011","526.41","517.85","539.84","474.51","5.03B","1.65%"
"01/10/2011","517.85","442.79","543.85","412.72","5.91B","16.95%"
"01/09/2011","442.79","506.52","513.58","436.41","5.40B","-12.58%"
"01/08/2011","506.52","563.02","571.59","454.29","7.06B","-10.04%"
"01/07/2011","563.02","559.46","591.26","553.79","4.07B","0.64%"
"01/06/2011","559.46","570.47","571.11","524.38","4.36B","-1.93%"
"01/05/2011","570.47","598.02","599.70","537.23","4.50B","-4.61%"
"01/04/2011","598.02","589.31","598.10","558.68","3.61B","1.48%"
"01/03/2011","589.31","580.67","597.85","539.02","4.74B","1.49%"
"01/02/2011","580.67","543.84","583.00","542.36","4.37B","6.77%"
"01/01/2011","543.84","506.75","544.03","503.54","4.25B","7.32%"
"01/12/2010","506.75","465.16","509.27","465.16","3.41B","8.93%"
"01/11/2010","465.21","442.59","476.28","441.67","4.27B","5.11%"
"01/10/2010","442.59","419.27","450.57","417.21","4.13B","5.56%"
"01/09/2010","419.27","384.14","424.13","384.14","3.57B","9.14%"
"01/08/2010","384.14","403.14","421.23","378.14","4.22B","-4.71%"
"01/07/2010","403.14","373.36","410.40","365.74","4.86B","7.98%"
"01/06/2010","373.36","396.31","425.09","372.54","6.84B","-5.79%"
"01/05/2010","396.31","449.37","457.14","377.07","6.90B","-11.81%"
"01/04/2010","449.37","430.31","464.74","430.31","5.54B","4.43%"
"01/03/2010","430.31","418.27","441.31","418.27","5.94B","2.88%"
"01/02/2010","418.27","410.57","430.42","397.70","5.00B","1.88%"
"01/01/2010","410.57","429.95","455.47","408.17","4.80B","-4.51%"
"01/12/2009","429.95","434.22","442.87","414.18","4.69B","-0.99%"
"01/11/2009","434.25","422.21","448.31","417.69","4.42B","2.85%"
"01/10/2009","422.22","409.31","456.97","391.55","5.50B","3.15%"
"01/09/2009","409.31","391.31","424.11","382.56","5.09B","4.60%"
"01/08/2009","391.31","389.92","408.16","373.24","4.66B","0.36%"
"01/07/2009","389.92","373.84","399.45","342.15","5.71B","4.30%"
"01/06/2009","373.84","392.12","418.25","362.16","6.20B","-4.68%"
"01/05/2009","392.21","356.02","400.84","355.34","5.49B","10.16%"
"01/04/2009","356.03","339.68","366.31","331.84","5.95B","4.81%"
"01/03/2009","339.68","327.54","366.73","299.07","7.75B","3.71%"
"01/02/2009","327.54","374.14","401.56","324.57","6.90B","-12.46%"
"01/01/2009","374.14","386.35","420.94","355.65","6.72B","-3.16%"
"01/12/2008","386.35","402.69","406.31","332.44","7.29B","-4.08%"
"01/11/2008","402.80","401.20","419.68","324.18","7.29B","0.40%"
"01/10/2008","401.21","489.35","489.35","309.21","12.34B","-18.01%"
"01/09/2008","489.35","556.07","556.07","456.59","8.11B","-12.00%"
"01/08/2008","556.07","560.76","572.57","524.15","5.84B","-0.84%"
"01/07/2008","560.76","652.00","663.74","542.13","7.62B","-13.99%"
"01/06/2008","652.00","637.69","661.80","617.53","5.60B","2.23%"
"01/05/2008","637.78","618.22","678.84","591.68","5.24B","3.16%"
"01/04/2008","618.24","557.65","639.85","553.46","4.80B","10.87%"
"01/03/2008","557.65","572.93","583.74","523.37","4.98B","-2.67%"
"01/02/2008","572.93","537.15","593.18","507.85","4.48B","6.66%"
"01/01/2008","537.15","603.04","613.62","481.35","5.44B","-10.93%"
"01/12/2007","603.04","562.05","612.71","557.54","3.12B","7.28%"
"01/11/2007","562.13","585.44","589.47","531.54","4.30B","-3.98%"
"01/10/2007","585.46","579.47","604.19","559.29","4.22B","1.03%"
"01/09/2007","579.47","536.35","589.01","529.73","3.14B","8.04%"
"01/08/2007","536.35","533.45","542.24","484.90","5.04B","0.54%"
"01/07/2007","533.45","529.71","576.32","525.61","4.30B","0.71%"
