"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2019","611.23","600.41","627.34","597.00","2.40B","2.33%"
"01/06/2019","597.34","571.14","607.81","570.45","1.49B","4.81%"
"01/05/2019","569.93","594.18","598.27","568.98","","-3.99%"
"01/04/2019","593.64","580.90","594.15","568.64","","2.33%"
"01/03/2019","580.11","561.29","580.64","551.88","","3.67%"
"01/02/2019","559.56","548.51","563.74","544.27","","2.12%"
"01/01/2019","547.94","517.65","549.78","513.47","","4.99%"
"01/12/2018","521.88","575.99","578.84","496.77","","-9.46%"
"01/11/2018","576.42","566.12","585.95","556.88","","1.72%"
"01/10/2018","566.68","555.95","572.14","534.47","","2.12%"
"01/09/2018","554.91","550.49","567.81","548.89","","0.62%"
"01/08/2018","551.48","548.55","566.91","543.73","","0.34%"
"01/07/2018","549.60","527.59","551.62","522.79","","3.88%"
"01/06/2018","529.08","508.82","534.26","506.57","","4.15%"
"01/05/2018","508.01","514.44","517.47","500.20","","-1.79%"
"01/04/2018","517.25","540.27","550.46","510.00","","-4.52%"
"01/03/2018","541.73","548.04","563.80","522.83","","-1.32%"
"01/02/2018","548.98","594.14","596.43","541.99","","-7.84%"
"01/01/2018","595.65","588.46","606.90","581.40","","1.41%"
"01/12/2017","587.39","576.08","592.57","569.05","","1.97%"
"01/11/2017","576.07","547.08","577.57","540.27","","5.40%"
"01/10/2017","546.55","555.68","563.77","541.66","","-1.59%"
"01/09/2017","555.39","562.68","571.65","552.86","","-1.14%"
"01/08/2017","561.81","570.01","574.92","558.36","","-1.27%"
"01/07/2017","569.04","568.23","575.37","555.50","","0.39%"
"01/06/2017","566.83","581.97","588.43","563.80","","-2.53%"
"01/05/2017","581.55","566.67","583.05","559.47","","2.65%"
"01/04/2017","566.54","562.28","573.02","559.82","","0.85%"
"01/03/2017","561.79","566.55","569.99","560.48","","-0.71%"
"01/02/2017","565.79","537.84","567.63","535.44","","4.87%"
"01/01/2017","539.51","533.33","544.88","527.82","","1.45%"
"01/12/2016","531.79","515.36","538.48","511.00","","2.90%"
"01/11/2016","516.81","541.44","542.17","514.53","","-4.52%"
"01/10/2016","541.27","545.75","545.75","531.09","","-0.96%"
"01/09/2016","546.54","555.93","561.74","538.14","","-1.75%"
"01/08/2016","556.26","559.81","564.55","553.92","","-0.67%"
"01/07/2016","560.03","565.10","574.63","553.25","","-0.88%"
"01/06/2016","564.99","538.87","565.02","538.87","","4.81%"
"01/05/2016","539.07","535.87","553.35","528.95","","0.64%"
"01/04/2016","535.63","542.99","550.81","527.73","","-1.46%"
"01/03/2016","543.56","522.33","546.51","522.33","","4.32%"
"01/02/2016","521.06","519.99","531.30","501.04","","0.06%"
"01/01/2016","520.74","516.81","520.98","485.84","","0.45%"
"01/12/2015","518.42","506.55","526.54","502.14","","2.51%"
"01/11/2015","505.71","512.61","515.01","490.11","","-1.27%"
"01/10/2015","512.23","485.08","523.97","479.32","","5.63%"
"01/09/2015","484.91","483.78","496.14","471.56","","0.13%"
"01/08/2015","484.29","515.20","522.68","455.26","","-6.00%"
"01/07/2015","515.20","489.64","517.54","489.64","","5.30%"
"01/06/2015","489.27","500.24","504.33","485.79","","-2.16%"
"01/05/2015","500.09","496.73","510.53","496.02","","0.73%"
"01/04/2015","496.49","501.35","511.16","494.73","","-0.97%"
"01/03/2015","501.33","513.93","514.93","489.23","","-2.43%"
"01/02/2015","513.82","493.35","514.65","490.33","","4.17%"
"01/01/2015","493.24","500.00","516.61","492.56","","-1.27%"
"01/12/2014","499.58","506.03","511.40","485.95","","-1.37%"
"01/11/2014","506.50","480.96","507.94","480.13","","5.32%"
"01/10/2014","480.90","464.79","481.73","450.54","","3.40%"
"01/09/2014","465.07","463.91","469.96","460.80","","0.28%"
"01/08/2014","463.79","442.99","464.44","442.93","","4.57%"
"01/07/2014","443.51","459.57","468.08","443.51","","-3.44%"
"01/06/2014","459.33","461.41","467.72","455.96","","-0.53%"
"01/05/2014","461.78","453.71","462.06","449.71","","1.75%"
"01/04/2014","453.85","441.72","455.55","438.68","","2.70%"
"01/03/2014","441.92","432.64","442.63","429.09","","1.88%"
"01/02/2014","433.77","419.27","435.59","409.40","","3.49%"
"01/01/2014","419.15","442.18","442.18","415.00","","-5.30%"
"01/12/2013","442.62","441.65","444.31","428.70","","0.24%"
"01/11/2013","441.58","435.61","446.69","433.77","","1.42%"
"01/10/2013","435.38","410.10","441.48","407.71","","6.13%"
"01/09/2013","410.24","406.96","428.16","404.64","","0.96%"
"01/08/2013","406.32","426.21","430.97","402.16","","-4.54%"
"01/07/2013","425.66","410.18","431.55","409.48","","3.88%"
"01/06/2013","409.77","412.28","424.10","401.63","","-0.61%"
"01/05/2013","412.30","422.19","434.67","412.30","","-2.39%"
"01/04/2013","422.39","410.33","428.01","407.95","","2.90%"
"01/03/2013","410.47","392.22","410.71","391.11","","4.50%"
"01/02/2013","392.78","381.47","396.88","380.30","","3.06%"
"01/01/2013","381.12","361.94","382.83","361.94","496.39M","5.64%"
"01/12/2012","360.78","370.42","373.81","355.57","2.95B","-2.54%"
"01/11/2012","370.18","365.31","370.73","349.66","3.34B","1.43%"
"01/10/2012","364.96","369.94","377.55","362.03","3.45B","-1.35%"
"01/09/2012","369.97","365.92","374.11","363.53","3.43B","1.11%"
"01/08/2012","365.92","368.30","371.33","362.01","3.39B","-0.65%"
"01/07/2012","368.30","358.92","369.76","355.55","3.63B","2.61%"
"01/06/2012","358.92","347.33","358.92","340.25","3.98B","3.34%"
"01/05/2012","347.33","351.85","354.55","343.75","3.89B","-1.28%"
"01/04/2012","351.85","351.49","354.88","344.62","3.65B","0.10%"
"01/03/2012","351.49","341.18","352.16","338.29","3.39B","3.02%"
"01/02/2012","341.20","329.84","342.29","329.84","3.53B","3.44%"
"01/01/2012","329.84","335.54","338.63","328.18","3.27B","-1.70%"
"01/12/2011","335.54","327.60","338.05","322.76","3.18B","2.42%"
"01/11/2011","327.60","319.89","333.21","310.84","3.51B","2.41%"
"01/10/2011","319.89","306.71","326.83","296.13","3.87B","4.30%"
