"Date","Price","Open","High","Low","Vol.","Change %"
"01/11/2018","607.87","588.48","617.45","579.17","","3.47%"
"01/10/2018","587.50","666.13","672.85","563.06","","-10.86%"
"01/09/2018","659.07","645.35","673.00","642.14","","2.07%"
"01/08/2018","645.72","644.61","652.96","621.21","","-0.01%"
"01/07/2018","645.78","598.68","646.72","596.05","","7.25%"
"01/06/2018","602.10","626.20","643.70","595.42","","-3.43%"
"01/05/2018","623.49","606.71","644.21","588.61","","2.69%"
"01/04/2018","607.17","623.86","642.42","603.83","","-2.85%"
"01/03/2018","624.95","643.08","658.70","611.17","","-2.77%"
"01/02/2018","642.76","667.44","675.17","601.41","","-4.25%"
"01/01/2018","671.32","639.31","680.89","637.91","","5.25%"
"01/12/2017","637.81","626.74","640.97","612.53","","1.77%"
"01/11/2017","626.69","607.44","628.30","590.92","","3.54%"
"01/10/2017","605.29","604.34","620.61","604.02","","0.15%"
"01/09/2017","604.38","582.95","605.84","574.18","","3.84%"
"01/08/2017","582.01","583.38","589.68","570.35","","-0.17%"
"01/07/2017","582.99","584.45","594.61","580.09","","0.01%"
"01/06/2017","582.92","577.14","593.35","573.16","","1.21%"
"01/05/2017","575.95","569.86","576.25","552.81","","1.19%"
"01/04/2017","569.17","559.86","575.26","550.91","","1.70%"
"01/03/2017","559.63","568.17","575.29","546.88","","-0.77%"
"01/02/2017","563.99","545.49","569.01","541.05","","3.40%"
"01/01/2017","545.43","540.94","557.92","539.20","","1.37%"
"01/12/2016","538.07","536.90","550.79","536.51","","0.32%"
"01/11/2016","536.36","494.92","540.64","486.08","","8.48%"
"01/10/2016","494.44","503.97","506.59","487.46","","-2.07%"
"01/09/2016","504.87","506.45","510.48","489.21","","-0.27%"
"01/08/2016","506.25","503.70","512.94","497.23","","0.48%"
"01/07/2016","503.83","487.74","512.98","479.87","","3.35%"
"01/06/2016","487.51","482.89","494.17","459.34","","0.79%"
"01/05/2016","483.71","487.72","490.26","470.87","","-0.81%"
"01/04/2016","487.65","483.24","496.07","472.61","","0.83%"
"01/03/2016","483.64","452.81","488.00","452.81","","7.02%"
"01/02/2016","451.92","435.71","458.17","418.43","","3.50%"
"01/01/2016","436.62","462.69","462.69","409.10","","-5.80%"
"01/12/2015","463.53","474.31","478.11","452.33","","-2.21%"
"01/11/2015","474.00","471.44","481.91","464.20","","0.60%"
"01/10/2015","471.16","431.75","476.55","424.05","","9.12%"
"01/09/2015","431.78","440.37","456.12","422.13","","-2.02%"
"01/08/2015","440.68","467.08","471.46","420.86","","-5.64%"
"01/07/2015","467.04","467.32","474.90","452.06","","0.14%"
"01/06/2015","466.37","479.72","486.31","465.31","","-2.73%"
"01/05/2015","479.48","479.89","492.24","475.99","","0.05%"
"01/04/2015","479.27","479.06","492.69","473.31","","-0.08%"
"01/03/2015","479.67","492.87","497.05","472.57","","-2.68%"
"01/02/2015","492.89","468.61","498.91","465.81","","5.20%"
"01/01/2015","468.53","486.68","489.42","462.76","","-3.69%"
"01/12/2014","486.47","486.95","495.23","463.54","","-0.33%"
"01/11/2014","488.10","475.00","494.24","472.04","","2.79%"
"01/10/2014","474.83","457.78","475.97","421.07","","3.65%"
"01/09/2014","458.11","464.24","472.25","454.93","","-1.27%"
"01/08/2014","464.00","445.84","468.21","441.13","","3.94%"
"01/07/2014","446.40","466.22","471.93","446.38","","-4.13%"
"01/06/2014","465.61","465.28","479.64","463.19","","0.10%"
"01/05/2014","465.14","457.44","465.75","451.32","","1.68%"
"01/04/2014","457.43","451.09","460.66","437.85","","1.50%"
"01/03/2014","450.69","446.75","457.06","440.05","","0.79%"
"01/02/2014","447.16","432.05","449.37","418.04","","3.52%"
"01/01/2014","431.97","451.83","452.70","428.02","","-4.53%"
"01/12/2013","452.46","434.87","453.06","424.42","","4.04%"
"01/11/2013","434.91","421.25","437.08","420.72","","3.32%"
"01/10/2013","420.92","400.88","424.33","389.82","","5.05%"
