"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2018","256.98","261.36","262.14","245.22","","-1.69%"
"01/04/2018","261.39","256.84","263.31","250.04","","2.05%"
"01/03/2018","256.14","247.88","257.62","244.80","","3.41%"
"01/02/2018","247.70","259.04","259.66","240.37","","-4.39%"
"01/01/2018","259.07","267.59","267.63","253.20","","-3.10%"
"01/12/2017","267.37","286.27","286.99","264.99","","-6.36%"
"01/11/2017","285.52","279.90","289.49","277.12","","2.21%"
"01/10/2017","279.35","269.55","280.08","267.03","","3.86%"
"01/09/2017","268.97","277.68","281.82","266.60","","-3.00%"
"01/08/2017","277.28","270.21","279.71","269.22","","2.68%"
"01/07/2017","270.04","264.44","270.57","259.60","","2.38%"
"01/06/2017","263.77","271.56","275.34","263.17","","-2.91%"
"01/05/2017","271.69","262.49","272.56","258.32","","3.63%"
"01/04/2017","262.16","259.91","264.70","257.97","","0.74%"
"01/03/2017","260.24","258.71","265.00","254.75","","-0.52%"
"01/02/2017","261.60","248.02","262.21","244.63","","4.71%"
"01/01/2017","249.82","246.98","249.90","242.99","","1.21%"
"01/12/2016","246.83","234.66","249.27","232.31","","4.64%"
"01/11/2016","235.88","250.92","250.96","229.50","","-5.96%"
"01/10/2016","250.83","248.35","252.33","237.58","","0.82%"
"01/09/2016","248.79","248.35","260.23","244.17","","0.12%"
"01/08/2016","248.49","264.50","265.24","246.70","","-6.14%"
"01/07/2016","264.75","267.08","269.24","260.07","","-0.73%"
"01/06/2016","266.70","247.81","266.71","246.32","","7.47%"
"01/05/2016","248.16","245.90","252.36","238.92","","0.97%"
"01/04/2016","245.76","251.64","253.26","237.27","","-2.45%"
"01/03/2016","251.93","234.59","252.20","227.79","","7.69%"
"01/02/2016","233.94","230.58","240.05","228.69","","1.37%"
"01/01/2016","230.77","218.93","230.99","215.82","","4.90%"
"01/12/2015","220.00","216.43","223.32","208.96","","1.85%"
"01/11/2015","216.01","222.19","224.71","212.41","","-2.75%"
"01/10/2015","222.13","219.82","231.13","215.58","","1.05%"
"01/09/2015","219.82","213.62","220.02","205.76","","2.59%"
"01/08/2015","214.28","223.25","233.19","211.81","","-4.00%"
"01/07/2015","223.22","210.67","225.04","210.29","","6.01%"
"01/06/2015","210.57","224.72","226.29","209.86","","-6.28%"
"01/05/2015","224.68","224.65","229.26","218.24","","0.04%"
"01/04/2015","224.59","225.63","230.97","222.60","","-0.48%"
"01/03/2015","225.68","228.66","230.27","217.13","","-1.31%"
"01/02/2015","228.67","245.79","248.57","226.64","","-6.96%"
"01/01/2015","245.77","240.35","253.29","237.40","","2.34%"
"01/12/2014","240.14","231.82","250.98","227.82","","3.24%"
"01/11/2014","232.62","231.20","236.60","226.97","","0.73%"
"01/10/2014","230.93","214.22","231.71","213.13","","7.91%"
"01/09/2014","213.99","218.69","220.37","210.49","","-2.15%"
"01/08/2014","218.70","209.26","218.71","203.21","","4.45%"
"01/07/2014","209.38","224.89","224.89","209.22","","-6.91%"
"01/06/2014","224.93","215.84","225.36","209.93","","4.20%"
"01/05/2014","215.87","219.75","220.83","208.55","","-1.65%"
"01/04/2014","219.49","210.67","221.36","208.08","","4.20%"
"01/03/2014","210.64","203.83","211.44","199.50","","3.09%"
"01/02/2014","204.33","198.87","207.21","194.41","","2.80%"
"01/01/2014","198.77","193.12","199.13","188.82","","2.88%"
"01/12/2013","193.21","192.17","194.27","187.89","","0.54%"
"01/11/2013","192.17","197.03","200.73","191.55","","-2.35%"
"01/10/2013","196.78","189.91","200.46","187.63","","3.66%"
"01/09/2013","189.84","189.08","195.94","184.46","","0.74%"
"01/08/2013","188.44","200.06","201.13","186.95","","-5.52%"
"01/07/2013","199.44","191.81","202.26","185.64","","4.20%"
"01/06/2013","191.40","190.21","193.61","182.20","","0.60%"
"01/05/2013","190.25","210.32","210.32","189.21","","-9.58%"
"01/04/2013","210.40","198.62","210.47","197.77","","5.89%"
"01/03/2013","198.70","188.84","198.85","187.57","","5.13%"
"01/02/2013","189.00","186.26","190.02","184.19","","1.59%"
"01/01/2013","186.04","178.31","186.20","178.31","224.43M","4.71%"
"01/12/2012","177.66","178.11","181.57","174.05","1.47B","-0.24%"
"01/11/2012","178.10","187.59","187.59","170.86","1.70B","-4.99%"
"01/10/2012","187.44","185.04","190.17","183.98","1.20B","1.38%"
"01/09/2012","184.90","183.27","186.24","181.77","1.36B","0.89%"
"01/08/2012","183.27","192.49","195.39","182.75","1.51B","-4.80%"
"01/07/2012","192.51","187.80","194.59","185.66","1.41B","2.51%"
"01/06/2012","187.80","181.00","189.50","179.82","1.90B","3.76%"
"01/05/2012","181.00","181.23","182.90","178.36","2.05B","-0.13%"
"01/04/2012","181.24","178.07","181.33","173.62","1.88B","1.78%"
"01/03/2012","178.07","176.27","180.13","174.73","1.79B","1.02%"
"01/02/2012","176.27","176.28","178.02","174.83","1.93B","-0.01%"
"01/01/2012","176.28","182.98","183.59","173.72","1.94B","-3.66%"
"01/12/2011","182.98","177.59","184.44","173.58","1.70B","3.03%"
"01/11/2011","177.59","176.78","179.25","167.53","1.98B","0.46%"
"01/10/2011","176.78","170.77","180.00","162.30","2.10B","3.52%"
"01/09/2011","170.77","170.98","176.46","163.38","2.16B","-0.13%"
"01/08/2011","170.98","168.15","171.35","149.18","3.10B","1.69%"
"01/07/2011","168.15","170.03","173.04","167.15","1.51B","-1.11%"
"01/06/2011","170.03","170.74","170.74","164.85","1.70B","-0.48%"
"01/05/2011","170.84","168.11","173.26","167.11","1.81B","1.62%"
