"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2013","156.73","157.92","161.63","156.66","","-0.74%"
"01/06/2013","157.90","155.07","161.78","152.60","","1.86%"
"01/05/2013","155.01","167.63","168.43","155.01","","-7.45%"
"01/04/2013","167.48","158.09","168.85","158.09","","5.99%"
"01/03/2013","158.01","153.04","158.40","152.15","","3.24%"
"01/02/2013","153.05","150.04","154.40","148.14","","2.56%"
"01/01/2013","149.23","147.58","152.43","142.95","401.00M","2.18%"
"01/12/2012","146.04","147.69","149.95","143.53","2.06B","-1.08%"
"01/11/2012","147.64","149.44","151.76","139.92","2.19B","-0.88%"
"01/10/2012","148.95","157.15","159.93","144.93","4.29B","-5.21%"
"01/09/2012","157.13","151.30","160.36","150.98","2.55B","3.85%"
"01/08/2012","151.30","155.20","156.82","149.65","2.90B","-2.51%"
"01/07/2012","155.20","147.14","155.75","143.37","2.94B","5.48%"
"01/06/2012","147.14","139.49","147.46","137.29","2.99B","5.36%"
"01/05/2012","139.66","136.12","140.53","134.37","2.75B","2.60%"
"01/04/2012","136.12","130.65","136.12","125.89","2.42B","4.19%"
"01/03/2012","130.65","129.35","134.24","128.68","2.85B","1.01%"
"01/02/2012","129.35","124.71","129.67","124.71","2.74B","3.72%"
"01/01/2012","124.71","129.82","130.77","123.33","2.41B","-3.94%"
"01/12/2011","129.82","125.14","130.23","123.39","2.20B","3.74%"
"01/11/2011","125.14","124.16","126.45","117.81","2.40B","0.79%"
"01/10/2011","124.16","122.01","126.57","116.73","3.62B","1.76%"
"01/09/2011","122.01","123.52","125.39","117.80","3.04B","-1.35%"
"01/08/2011","123.68","125.38","128.09","113.75","4.71B","-1.36%"
"01/07/2011","125.38","134.34","136.19","123.80","2.28B","-6.67%"
"01/06/2011","134.34","136.34","136.34","128.54","2.58B","-1.47%"
"01/05/2011","136.34","134.14","136.44","133.32","2.62B","1.64%"
"01/04/2011","134.14","133.25","135.80","130.06","2.38B","0.67%"
"01/03/2011","133.25","126.68","134.09","120.76","4.39B","5.19%"
"01/02/2011","126.68","123.79","128.28","122.33","2.74B","2.33%"
"01/01/2011","123.79","128.74","132.75","122.85","3.33B","-3.84%"
"01/12/2010","128.74","119.61","129.27","119.61","3.06B","7.59%"
"01/11/2010","119.66","121.40","125.36","118.65","2.72B","-1.43%"
"01/10/2010","121.40","121.54","124.77","119.51","2.87B","-0.12%"
"01/09/2010","121.54","112.61","123.39","112.61","2.88B","7.93%"
"01/08/2010","112.61","110.13","114.85","110.03","3.33B","2.25%"
"01/07/2010","110.13","102.04","111.55","100.83","4.01B","7.93%"
"01/06/2010","102.04","102.44","107.60","101.16","3.49B","-0.39%"
"01/05/2010","102.44","106.64","108.26","98.75","4.33B","-3.94%"
"01/04/2010","106.64","108.15","110.13","105.53","3.92B","-1.40%"
"01/03/2010","108.15","102.61","110.19","102.61","3.45B","5.40%"
"01/02/2010","102.61","103.95","106.01","101.57","3.08B","-1.29%"
"01/01/2010","103.95","114.64","116.99","103.86","3.30B","-9.32%"
"01/12/2009","114.64","109.62","116.29","109.62","2.80B","4.58%"
"01/11/2009","109.62","103.04","111.44","100.99","3.03B","6.39%"
"01/10/2009","103.04","108.29","108.58","101.57","3.59B","-4.85%"
"01/09/2009","108.29","105.32","110.23","101.67","3.47B","2.82%"
"01/08/2009","105.32","107.93","109.33","102.03","2.52B","-2.42%"
"01/07/2009","107.93","104.18","109.64","96.76","2.73B","3.60%"
"01/06/2009","104.18","103.14","106.16","100.40","2.78B","1.01%"
"01/05/2009","103.14","104.52","109.22","98.67","2.48B","-1.32%"
"01/04/2009","104.52","102.24","110.88","101.35","2.32B","2.23%"
"01/03/2009","102.24","96.53","107.40","87.81","3.10B","5.92%"
"01/02/2009","96.53","99.35","105.51","91.97","2.81B","-2.84%"
"01/01/2009","99.35","111.70","115.12","95.56","2.74B","-11.06%"
"01/12/2008","111.70","110.72","117.74","103.47","2.53B","0.89%"
"01/11/2008","110.72","104.04","116.59","88.27","2.78B","6.42%"
"01/10/2008","104.04","114.99","117.60","84.57","3.76B","-9.52%"
"01/09/2008","114.99","131.71","136.01","112.10","2.81B","-12.69%"
"01/08/2008","131.71","127.17","134.49","123.81","2.38B","3.57%"
"01/07/2008","127.17","136.46","136.46","126.13","2.48B","-6.81%"
"01/06/2008","136.46","154.34","154.43","132.09","2.49B","-11.58%"
"01/05/2008","154.34","149.34","156.56","147.46","2.19B","3.35%"
"01/04/2008","149.34","143.79","151.58","138.92","2.08B","3.86%"
"01/03/2008","143.79","137.08","145.08","131.63","2.45B","4.89%"
"01/02/2008","137.08","151.63","152.62","131.98","2.50B","-9.60%"
"01/01/2008","151.63","168.26","169.32","132.78","2.94B","-9.88%"
"01/12/2007","168.26","163.23","173.19","162.35","1.82B","3.08%"
"01/11/2007","163.23","175.99","175.99","154.74","2.03B","-7.25%"
"01/10/2007","175.99","178.61","180.10","171.38","1.97B","-1.47%"
"01/09/2007","178.61","170.99","180.58","165.74","1.43B","4.46%"
"01/08/2007","170.99","171.12","175.83","159.09","2.07B","-0.08%"
"01/07/2007","171.12","176.21","179.02","168.90","1.79B","-2.89%"
"01/06/2007","176.21","181.06","181.59","170.68","1.83B","-2.68%"
"01/05/2007","181.06","165.13","181.57","165.13","1.83B","9.65%"
"01/04/2007","165.13","165.02","167.88","162.55","1.42B","0.07%"
"01/03/2007","165.02","158.88","165.67","153.73","1.83B","3.86%"
"01/02/2007","158.88","159.95","162.14","152.74","1.56B","-0.67%"
"01/01/2007","159.95","155.15","160.68","149.00","2.05B","3.09%"
"01/12/2006","155.15","148.38","157.09","147.33","1.78B","4.56%"
"01/11/2006","148.38","148.87","150.64","143.78","2.09B","-0.33%"
"01/10/2006","148.87","143.89","152.28","142.14","2.34B","3.46%"
"01/09/2006","143.89","138.36","147.21","138.08","1.44B","4.00%"
"01/08/2006","138.36","136.79","139.06","133.58","1.90B","1.15%"
"01/07/2006","136.79","131.25","138.41","125.00","1.44B","4.22%"
"01/06/2006","131.25","125.37","131.72","125.29","1.62B","4.69%"
"01/05/2006","125.37","129.26","130.28","123.13","1.30B","-3.01%"
"01/04/2006","129.26","133.14","134.74","126.42","1.12B","-2.91%"
"01/03/2006","133.14","129.19","135.19","128.96","1.81B","3.06%"
"01/02/2006","129.19","121.24","132.51","121.09","1.22B","6.56%"
