"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2016","283.61","292.87","292.87","262.78","","-3.17%"
"01/01/2016","292.90","321.73","321.73","276.91","","-8.96%"
"01/12/2015","321.73","329.48","333.93","312.06","","-2.35%"
"01/11/2015","329.48","323.97","334.99","320.03","","1.70%"
"01/10/2015","323.97","305.33","330.43","296.13","","6.11%"
"01/09/2015","305.33","315.31","317.68","298.26","","-3.17%"
"01/08/2015","315.31","338.84","342.17","299.11","","-6.94%"
"01/07/2015","338.84","328.94","344.90","325.02","","3.01%"
"01/06/2015","328.94","330.53","340.51","327.47","","-0.48%"
"01/05/2015","330.53","325.20","336.94","324.09","","1.64%"
"01/04/2015","325.20","324.95","330.61","322.37","","0.08%"
"01/03/2015","324.95","327.52","334.13","320.26","","-0.78%"
"01/02/2015","327.52","310.01","330.90","308.59","","5.65%"
"01/01/2015","310.01","333.33","335.65","309.97","","-6.99%"
"01/12/2014","333.32","327.52","339.18","318.07","","1.62%"
"01/11/2014","328.00","321.43","329.42","319.86","","2.12%"
"01/10/2014","321.20","312.16","321.41","290.41","","2.85%"
"01/09/2014","312.29","314.36","321.88","310.76","","-0.54%"
"01/08/2014","313.99","301.50","315.22","297.40","","4.02%"
"01/07/2014","301.85","307.04","310.81","301.85","","-1.55%"
"01/06/2014","306.61","299.99","309.28","298.62","","2.28%"
"01/05/2014","299.78","296.13","300.24","290.18","","1.23%"
"01/04/2014","296.13","301.28","303.90","285.74","","-1.64%"
"01/03/2014","301.06","291.75","305.45","287.83","","3.08%"
"01/02/2014","292.07","283.63","293.53","276.34","","2.94%"
"01/01/2014","283.73","294.48","298.68","281.29","","-3.73%"
"01/12/2013","294.71","289.02","294.91","282.57","","2.00%"
"01/11/2013","288.92","277.03","290.76","274.20","","4.37%"
"01/10/2013","276.82","268.50","283.32","262.54","","3.15%"
"01/09/2013","268.37","261.82","279.76","261.82","","2.63%"
"01/08/2013","261.50","276.32","280.78","260.32","","-5.22%"
"01/07/2013","275.89","262.41","281.86","260.86","","5.28%"
"01/06/2013","262.06","266.96","270.01","250.73","","-1.78%"
"01/05/2013","266.80","251.77","273.60","249.02","","5.88%"
"01/04/2013","251.99","245.32","252.68","239.21","","2.68%"
"01/03/2013","245.41","236.40","249.18","233.68","","3.69%"
"01/02/2013","236.67","234.30","241.42","231.01","","1.13%"
"01/01/2013","234.02","221.92","235.71","221.92","19.12M","5.77%"
"01/12/2012","221.24","211.81","223.92","209.29","113.42M","4.56%"
"01/11/2012","211.60","214.15","217.92","202.39","112.40M","-1.07%"
"01/10/2012","213.88","210.16","220.60","210.16","117.66M","1.81%"
"01/09/2012","210.07","203.39","220.66","202.54","116.37M","3.28%"
"01/08/2012","203.39","197.43","206.67","193.05","97.34M","3.02%"
"01/07/2012","197.43","197.36","199.82","189.67","108.96M","0.03%"
"01/06/2012","197.37","188.19","197.37","178.61","138.39M","4.88%"
"01/05/2012","188.19","207.53","211.34","184.34","149.05M","-9.32%"
"01/04/2012","207.53","212.83","215.20","200.82","131.32M","-2.49%"
"01/03/2012","212.84","198.32","215.74","193.81","174.23M","7.31%"
"01/02/2012","198.35","189.12","201.12","189.12","147.17M","4.84%"
"01/01/2012","189.19","175.23","193.07","175.23","161.83M","7.96%"
"01/12/2011","175.23","172.45","179.35","164.85","141.96M","1.61%"
"01/11/2011","172.46","181.58","183.35","157.40","168.76M","-5.02%"
"01/10/2011","181.58","159.04","190.51","147.66","201.44M","14.16%"
"01/09/2011","159.05","179.83","180.07","152.98","177.47M","-11.56%"
"01/08/2011","179.83","199.18","202.07","158.91","252.22M","-9.72%"
"01/07/2011","199.18","206.75","211.34","195.00","124.91M","-3.72%"
"01/06/2011","206.87","213.08","213.08","196.54","142.13M","-2.92%"
"01/05/2011","213.09","220.49","221.42","207.03","124.76M","-3.35%"
"01/04/2011","220.49","220.71","225.46","213.19","177.69M","-0.10%"
"01/03/2011","220.71","226.78","226.92","212.42","223.91M","-2.68%"
"01/02/2011","226.78","220.70","231.20","219.90","185.45M","2.75%"
"01/01/2011","220.70","214.77","225.65","214.77","265.38M","2.76%"
"01/12/2010","214.77","194.12","216.28","194.12","263.43M","10.63%"
"01/11/2010","194.13","195.83","210.70","193.02","219.64M","-0.86%"
"01/10/2010","195.83","193.17","201.80","191.83","274.73M","1.37%"
"01/09/2010","193.18","182.26","201.35","182.26","195.04M","5.98%"
"01/08/2010","182.27","197.92","203.00","179.03","201.25M","-7.91%"
"01/07/2010","197.92","185.62","201.99","179.88","241.83M","6.61%"
"01/06/2010","185.64","197.42","202.56","184.25","280.70M","-5.97%"
"01/05/2010","197.42","217.54","222.05","186.55","378.41M","-9.25%"
"01/04/2010","217.54","214.73","230.46","214.62","367.33M","1.30%"
"01/03/2010","214.75","197.43","219.69","196.84","290.59M","8.77%"
"01/02/2010","197.43","190.92","198.13","181.95","204.06M","3.41%"
"01/01/2010","190.92","193.75","207.27","188.43","272.09M","-1.48%"
"01/12/2009","193.78","197.02","200.56","188.75","295.28M","-1.64%"
"01/11/2009","197.02","189.03","203.32","185.59","198.31M","4.23%"
"01/10/2009","189.03","201.17","212.00","188.10","299.99M","-6.04%"
"01/09/2009","201.18","197.37","207.84","184.84","370.11M","1.93%"
"01/08/2009","197.37","174.88","200.07","174.88","441.17M","12.86%"
"01/07/2009","174.88","160.73","175.08","145.81","341.76M","8.78%"
"01/06/2009","160.76","164.44","169.64","152.27","315.26M","-2.24%"
"01/05/2009","164.44","145.38","175.84","141.94","439.52M","13.09%"
"01/04/2009","145.40","118.98","152.26","115.23","481.86M","22.17%"
